Company,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21
NFL,34.0,32.1,36.3,36.4,38.0,38.1,38.0,38.6,37.3,38.0
RCF,21.1,23.4,23.5,26.0,25.5,25.5,25.0,23.8,23.5,22.5
MFL,4.9,4.4,4.9,3.3,4.1,4.7,4.2,3.9,3.5,4.8
BVFCL,2.8,3.9,3.1,3.6,3.2,3.1,2.7,2.9,1.6,1.3
IFFCO,44.9,45.1,43.8,41.3,46.7,43.3,41.1,45.6,48.7,46.8
KRIBHCO,14.3,21.3,22.1,22.2,22.7,23.5,22.5,23.4,23.3,23.2
GSFC,2.9,3.5,3.2,3.5,3.6,3.6,3.1,3.7,3.2,3.7
CIL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SFC,3.9,3.8,4.0,4.0,4.0,3.9,4.1,3.9,3.9,4.0
Zuari,3.7,3.9,3.8,3.6,4.0,4.7,4.7,4.1,2.3,4.7
SPIC,6.2,4.8,2.9,4.9,6.2,5.6,6.6,6.5,5.5,6.2
MCFL,3.8,3.8,3.8,2.5,3.8,3.8,4.2,3.5,3.8,3.5
GNFC,7.0,7.1,7.0,7.0,6.9,6.9,6.5,6.4,6.9,6.4
NFCL,15.6,15.7,14.3,9.3,13.4,15.0,15.9,5.8,6.9,7.4
CFCL,21.5,20.9,19.4,18.5,21.3,20.0,20.9,25.0,32.7,33.5
Grasim,11.6,10.8,10.4,10.2,12.1,11.6,11.8,11.4,11.2,11.0
KFL,10.2,10.1,10.4,10.5,9.8,9.3,9.0,10.6,10.3,10.7
IPL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Narmada Bio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KanpurFert,0.0,0.0,3.1,6.4,7.2,7.2,7.2,6.7,7.2,6.7
MFCL,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0
Yara,11.6,11.2,11.4,12.5,12.3,12.1,12.5,13.0,12.8,11.5
RFCL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
